,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
109,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,607,2PartPilot3Part1,1.86,2.86,hedgehog,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.216666666666665
110,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,608,2PartPilot3Part1,1.93,2.93,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.1
111,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,609,2PartPilot3Part1,,,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.266666666666666
112,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,610,2PartPilot3Part1,2.65,3.65,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",54.6
113,chrome,linux,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,611,2PartPilot3Part1,2.42,3.42,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.283333333333335
114,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,612,2PartPilot3Part1,2.6,3.6,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.683333333333334
115,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,613,2PartPilot3Part1,2.07,3.07,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.433333333333334
117,chrome,chromeos,UNKNOWN,1,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,615,2PartPilot3Part1,2.33,3.33,bighorn,0,1,7,1,2020-12-15,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.066666666666666
118,safari,macos,UNKNOWN,1,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,616,2PartPilot3Part1,2.02,3.02,bighorn,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.916666666666668
119,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,617,2PartPilot3Part1,2.24,3.24,bighorn,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.9
120,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,618,2PartPilot3Part1,2.32,3.32,bighorn,0,1,7,1,2020-12-12,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",47.95
121,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,619,2PartPilot3Part1,2.58,3.58,bighorn,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.45
122,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,620,2PartPilot3Part1,2.34,3.34,bighorn,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.6
