,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus,time_diff
106,chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 14:55:50.145108,2022-03-09 14:57:11.115337,2022-03-09 15:08:42.227817,0.0,3,live,2249,methods_main,reindeer,0,0,7,1,Wed Mar 09 2022 08:55:50 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.36,3.36,12.866666666666667
107,chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 14:52:41.249802,2022-03-09 14:52:48.000618,2022-03-09 15:02:36.249666,0.0,3,live,2216,methods_main,reindeer,0,0,7,1,Wed Mar 09 2022 06:52:41 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,2.92,2.92,9.9
108,chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 17:15:00.397029,2022-03-09 17:15:05.407049,2022-03-09 17:25:32.616222,0.0,3,live,2352,methods_main,bobcat,0,0,7,1,Wed Mar 09 2022 11:15:01 GMT-0600 (Central Standard Time),0.002,2_4_24,312,1.11,1.11,10.533333333333333
109,chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 15:56:22.324167,2022-03-09 15:56:31.938024,2022-03-09 16:07:25.232620,0.0,3,live,2309,methods_main,bobcat,0,0,7,1,Wed Mar 09 2022 10:56:23 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.06,3.06,11.033333333333333
110,firefox,linux,en-US,14,0,irlexp10_1,2022-03-09 15:38:30.965262,2022-03-09 15:38:36.793173,2022-03-09 15:50:40.363382,0.0,3,live,2294,methods_main,bobcat,0,0,7,1,Wed Mar 09 2022 10:38:32 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.8,2.8,12.15
112,firefox,windows,en-US,14,0,irlexp10_1,2022-03-09 14:52:18.003029,2022-03-09 14:52:23.545734,2022-03-09 15:02:38.570707,0.0,3,live,2217,methods_main,bobcat,0,0,7,1,Wed Mar 09 2022 08:52:20 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.62,3.62,10.333333333333334
113,chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 17:47:27.101427,2022-03-09 17:50:43.686386,2022-03-09 18:01:23.755434,0.0,3,live,2363,methods_main,fieldmouse,0,0,7,1,Wed Mar 09 2022 12:47:30 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.32,3.32,13.933333333333334
114,chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 16:14:49.122579,2022-03-09 16:14:56.435541,2022-03-09 16:27:48.240071,0.0,3,live,2326,methods_main,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:14:51 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,,12.983333333333333
116,chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 15:25:09.174078,2022-03-09 15:26:55.585241,2022-03-09 15:38:47.345801,0.0,3,live,2296,methods_main,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:25:10 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.43,3.43,13.633333333333333
118,chrome,chromeos,en-US,15,0,irlexp10_1,2022-03-09 14:54:17.899501,2022-03-09 14:56:54.889589,2022-03-09 15:11:11.739850,0.0,3,live,2251,methods_main,fieldmouse,0,0,7,1,Wed Mar 09 2022 08:54:19 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,,16.883333333333333
119,chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 17:08:53.156493,2022-03-09 17:10:31.317967,2022-03-09 17:21:35.677921,0.0,3,live,2353,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 12:08:42 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.98,2.98,12.7
