browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 15:39:08.674220,2022-03-09 15:47:31.980237,2022-03-09 16:07:51.814545,0.0,3,live,2308
chrome,chromeos,en-US,8,0,irlexp10_1,2022-03-09 15:26:15.975118,2022-03-09 15:26:32.593635,2022-03-09 15:35:39.935705,0.0,3,live,2288
chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 15:21:20.499843,2022-03-09 15:21:27.521481,2022-03-09 15:33:11.552928,0.0,3,live,2289
chrome,linux,en-US,8,0,irlexp10_1,2022-03-09 14:53:36.788871,2022-03-09 14:53:44.376818,2022-03-09 15:08:16.966590,0.0,3,live,2239
chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 16:48:18.998331,2022-03-09 16:48:40.064599,2022-03-09 17:03:44.900497,0.0,3,live,2349
chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 16:14:35.758956,2022-03-09 16:17:40.660974,2022-03-09 16:27:54.665745,0.0,3,live,2325
chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 14:59:47.778552,2022-03-09 15:02:41.709788,2022-03-09 15:11:49.923574,0.0,3,live,2240
chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 14:56:16.496789,2022-03-09 14:59:38.432838,2022-03-09 15:17:17.825442,0.0,3,live,2241
chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 14:54:00.085827,2022-03-09 14:54:07.995826,2022-03-09 15:12:20.279476,0.0,3,live,2242
chrome,chromeos,en-US,10,0,irlexp10_1,2022-03-09 17:08:24.657565,2022-03-09 17:10:23.899057,2022-03-09 17:23:11.285165,0.0,3,live,2350
firefox,windows,en-US,10,0,irlexp10_1,2022-03-09 16:31:53.798521,2022-03-09 16:39:15.984364,2022-03-09 17:16:58.996609,0.0,3,live,2328
chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 15:34:00.717511,2022-03-09 15:36:40.780834,2022-03-09 15:49:41.139394,0.0,3,live,2290
chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 15:20:45.566679,2022-03-09 15:22:14.358827,2022-03-09 15:31:04.337290,0.0,3,live,2291
chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 15:04:12.443799,2022-03-09 15:06:46.642290,2022-03-09 15:19:22.902170,0.0,3,live,2243
chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 14:54:03.457038,2022-03-09 14:56:18.775584,2022-03-09 15:07:39.786773,0.0,3,live,2244
firefox,linux,en-US,11,0,irlexp10_1,2022-03-09 17:26:07.074548,2022-03-09 17:29:27.240134,2022-03-09 17:43:08.831529,0.0,3,live,2355
firefox,windows,en-US,11,0,irlexp10_1,2022-03-09 17:00:17.714085,2022-03-09 17:02:48.816970,2022-03-09 17:23:23.892708,0.0,3,live,2351
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 15:11:54.316455,2022-03-09 15:25:07.403320,2022-03-09 15:38:10.024229,0.0,3,live,2278
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 14:55:14.031897,2022-03-09 14:59:05.879513,2022-03-09 15:00:40.758407,0.0,3,live,2214
chrome,macos,en-US,11,0,irlexp10_1,2022-03-09 14:53:54.949410,2022-03-09 14:54:02.215804,2022-03-09 15:05:13.802855,0.0,3,live,2215
chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 17:54:49.974376,2022-03-09 17:56:41.487827,2022-03-09 18:06:31.607975,0.0,3,live,2362
chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 15:28:33.003974,2022-03-09 15:55:08.216162,2022-03-09 15:56:34.968641,0.0,3,live,2292
chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 15:18:09.849067,2022-03-09 15:21:03.565366,2022-03-09 15:34:14.525199,0.0,3,live,2293
chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 14:58:51.330794,2022-03-09 15:01:56.177709,2022-03-09 15:16:47.417040,0.0,3,live,2245
firefox,windows,en-US,12,0,irlexp10_1,2022-03-09 14:53:25.938559,2022-03-09 14:53:35.555151,2022-03-09 15:06:48.065335,0.0,3,live,2247
firefox,windows,en-US,13,0,irlexp10_1,2022-03-09 19:18:58.582312,2022-03-09 19:19:05.213468,2022-03-09 19:35:37.251578,0.0,3,live,2369
chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 17:35:42.047672,2022-03-09 17:39:40.657238,2022-03-09 17:52:31.291066,0.0,3,live,2356
chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 15:12:37.647981,2022-03-09 15:12:46.175857,2022-03-09 15:24:57.049432,0.0,3,live,2279
firefox,windows,en-US,13,0,irlexp10_1,2022-03-09 14:58:40.643810,2022-03-09 15:03:49.068865,2022-03-09 15:24:22.387965,0.0,3,live,2248
chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 14:55:50.145108,2022-03-09 14:57:11.115337,2022-03-09 15:08:42.227817,0.0,3,live,2249
chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 14:52:41.249802,2022-03-09 14:52:48.000618,2022-03-09 15:02:36.249666,0.0,3,live,2216
chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 17:15:00.397029,2022-03-09 17:15:05.407049,2022-03-09 17:25:32.616222,0.0,3,live,2352
chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 15:56:22.324167,2022-03-09 15:56:31.938024,2022-03-09 16:07:25.232620,0.0,3,live,2309
