pid,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus
2293,fruitbat,0,0,7,1,Wed Mar 09 2022 10:18:13 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.17,3.17
2245,fruitbat,0,0,7,1,Wed Mar 09 2022 09:58:54 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.21,3.21
2247,fruitbat,0,0,7,1,Wed Mar 09 2022 09:53:27 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.2,2.20
2369,reindeer,0,0,7,1,Wed Mar 09 2022 14:18:59 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.02,3.02
2356,reindeer,0,0,7,1,Wed Mar 09 2022 09:35:43 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.36,3.36
2279,reindeer,0,0,7,1,Wed Mar 09 2022 10:12:39 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.86,0.86
2248,reindeer,0,0,7,1,Wed Mar 09 2022 09:58:40 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.23,3.23
2249,reindeer,0,0,7,1,Wed Mar 09 2022 08:55:50 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.36,3.36
2216,reindeer,0,0,7,1,Wed Mar 09 2022 06:52:41 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,2.92,2.92
2352,bobcat,0,0,7,1,Wed Mar 09 2022 11:15:01 GMT-0600 (Central Standard Time),0.002,2_4_24,312,1.11,1.11
2309,bobcat,0,0,7,1,Wed Mar 09 2022 10:56:23 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.06,3.06
2294,bobcat,0,0,7,1,Wed Mar 09 2022 10:38:32 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.8,2.80
2295,bobcat,0,0,7,1,Wed Mar 09 2022 10:29:41 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.29,0.29
2217,bobcat,0,0,7,1,Wed Mar 09 2022 08:52:20 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.62,3.62
2363,fieldmouse,0,0,7,1,Wed Mar 09 2022 12:47:30 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.32,3.32
2326,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:14:51 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2310,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:00:06 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.5,3.50
2296,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:25:10 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.43,3.43
2250,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:01:54 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.28,3.28
2251,fieldmouse,0,0,7,1,Wed Mar 09 2022 08:54:19 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2353,hedgehog,0,0,7,1,Wed Mar 09 2022 12:08:42 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.98,2.98
2297,hedgehog,0,0,7,1,Wed Mar 09 2022 10:18:31 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.57,3.57
2252,hedgehog,0,0,7,1,Wed Mar 09 2022 09:57:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.58,3.58
2253,hedgehog,0,0,7,1,Wed Mar 09 2022 09:52:36 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.36,0.36
2254,hedgehog,0,0,7,1,Wed Mar 09 2022 09:56:29 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.42,3.42
2357,bighorn,0,0,7,1,Wed Mar 09 2022 11:17:30 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.43,3.43
2298,bighorn,0,0,7,1,Wed Mar 09 2022 10:42:07 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,1.52,1.52
2299,bighorn,0,0,7,1,Wed Mar 09 2022 10:46:20 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2256,bighorn,0,0,7,1,Wed Mar 09 2022 08:54:13 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.24,3.24
2218,bighorn,0,0,7,1,Wed Mar 09 2022 09:52:45 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2364,chinchilla,0,0,7,1,Wed Mar 09 2022 12:39:52 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.35,3.35
2358,chinchilla,0,0,7,1,Wed Mar 09 2022 12:28:35 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.49,2.49
2300,chinchilla,0,0,7,1,Wed Mar 09 2022 09:18:58 GMT-0600 (Central Standard Time),0.002,2_4_24,312,0.96,0.96
2257,chinchilla,0,0,7,1,Wed Mar 09 2022 10:02:58 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.35,3.35
2258,chinchilla,0,0,7,1,Wed Mar 09 2022 06:52:46 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,0.16,0.16
2259,chinchilla,0,0,7,1,Wed Mar 09 2022 09:56:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.66,2.66
2342,porcupine,0,0,7,1,Wed Mar 09 2022 11:43:18 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.41,2.41
2301,porcupine,0,0,7,1,Wed Mar 09 2022 10:22:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.46,2.46
2260,porcupine,0,0,7,1,Wed Mar 09 2022 08:01:05 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.3,3.30
2219,porcupine,0,0,7,1,Wed Mar 09 2022 09:53:41 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2220,porcupine,0,0,7,1,Wed Mar 09 2022 09:55:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.04,3.04
2337,guanaco,0,0,7,1,Wed Mar 09 2022 09:35:57 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,0.1,0
2312,guanaco,0,0,7,1,Wed Mar 09 2022 07:49:05 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.3,3.30
2302,guanaco,0,0,7,1,Wed Mar 09 2022 09:38:14 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.37,3.37
2262,guanaco,0,0,7,1,Wed Mar 09 2022 09:53:25 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45
2263,guanaco,0,0,7,1,Wed Mar 09 2022 09:54:52 GMT-0500 (EST),0.002,2_4_24,312,3.41,3.41
2338,walrus,0,0,7,1,Wed Mar 09 2022 10:34:41 GMT-0600 (Central Standard Time),0.002,2_4_24,312,1.64,1.64
