"","AD","CIT","SW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
"AUDIT_8",0.00508493967937868,0.0203400127523525,-0.0170107140618501
"AUDIT_9",0.00292599323181837,0.0154882761341816,-0.00996376381358592
"AUDIT_10",0.00567025848118383,0.0115763519746192,-0.0102983704591062
"SDS_1",0.0333164004162423,0.00681614232455695,0.000582932636231488
"SDS_2",0.00998301810732771,-0.00489804439504416,-0.00378862899046067
"SDS_3",0.0133241405355811,0.0196261266266403,-0.00421202249765054
"SDS_4",0.00881759712892414,0.0092595726933681,0.000844357202818343
"SDS_5",0.000280878393633262,0.00441617238903919,0.000605172730470385
"SDS_6",0.00865171637739177,-0.00483558953446864,0.0100052445588629
"SDS_7",-0.00424641746534193,0.0141795539468846,-0.00399172050414642
"SDS_8",-0.000915698951430365,0.0157038687104517,0.00258345720856879
"SDS_9",0.00383635869584042,0.0200931169869504,0.000501767065896231
"SDS_10",0.0152510956665847,0.0177006232542035,8.65410083741223e-05
"SDS_11",0.0187389701395055,0.00404498205324471,-1.9702261325047e-05
"SDS_12",0.0259942531279786,-0.00284289901078275,-0.000572244317202178
"SDS_13",0.0101250702867646,0.0124104241534565,-0.00109064946112764
"SDS_14",0.0373380229573091,-0.0106142909139899,-0.00147141528470784
"SDS_15",0.0152733209269165,0.0160877001170408,-0.000467217032861091
"SDS_16",0.0261752289193004,-0.00275363813108282,0.0041357666378733
"SDS_17",0.049114105151425,-0.00837617490994043,-0.00209253389141101
"SDS_18",0.0433429135862336,-0.0110673228983056,-0.00470134204493069
"SDS_19",0.0152603136744024,0.0148699727304863,-0.00362364937031729
"SDS_20",0.0324947232593177,-0.00204236879461698,0.00266293685872608
"STAI_1",0.0473590249642162,-0.0103705703361262,0.00220944229221916
"STAI_2",0.016526305764009,0.0201005231765469,0.0135587779606431
"STAI_3",0.0543748594008433,-0.0149420975324231,5.77512442488041e-05
"STAI_4",0.0209665752925486,0.00834015710593283,0.00781569034336894
"STAI_5",0.0464269070337638,0.00516944905070072,0.00297306111153696
"STAI_6",0.016068577049693,0.00203533894991168,0.00161696503576952
"STAI_7",0.024829845860621,-0.00275189619318514,0.00591018901668967
"STAI_8",0.0283956359812341,0.0118127081370776,0.00199414117206823
"STAI_9",0.00744724450528557,0.0215421596878183,0.010883200881293
"STAI_10",0.0651254693140057,-0.0185604719187334,0.000813413060894085
"STAI_11",0.0136348775623277,0.0299862190441238,-0.00337667444075044
"STAI_12",0.0257245963135969,0.000266726495296218,0.024056778764651
"STAI_13",0.0420296286383406,-0.008311531306134,0.00285402818849002
"STAI_14",0.0209130350531518,-0.00775059311180015,0.0108421197804722
"STAI_15",0.0385264667324276,0.00861239134406419,0.0114277807596718
"STAI_16",0.0488022101658562,-0.0128336274101227,-0.00251461658030097
"STAI_17",0.00768359919214996,0.0303434657942322,0.00401205856352656
"STAI_18",0.0108060785579632,0.0222860565821695,0.0121414432341615
"STAI_19",0.0332126542448078,-0.000523681303398848,-0.0019206138007274
"STAI_20",0.0186328757915899,0.0219866027246382,0.00609202652171001
"BIS_1",0.020198370527151,-0.00133678177373512,-0.0189745623909069
"BIS_2",0.0112033560670204,0.017671063521831,-0.0175863280771942
"BIS_3",-0.00934698689312385,0.0112423996372931,-0.0111969492113124
"BIS_4",-0.0192470324974736,0.0135179486623326,-0.0121110553546254
"BIS_5",0.0130831391089753,0.0083477911858358,-0.00961563260631619
"BIS_6",0.00912525432200789,0.0301859583960931,-0.00443302716543744
"BIS_7",0.0142318273123778,-0.000394906014232579,-0.0149621086928672
"BIS_8",0.0202451865099868,0.00613116932010586,-0.0121362515595002
