,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
38,1207,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,29,0,0,male,0.0,1.0,safari,macos,UNKNOWN,7,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.09,4.09,aoudad,55.083333333333336
39,1208,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,31,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.85,3.85,aoudad,41.9
40,1209,QuestPilot3,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.92,3.92,aoudad,33.93333333333333
41,1210,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,firefox,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.95,3.95,aoudad,33.333333333333336
42,1211,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,44,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.18,3.18,aoudad,54.733333333333334
43,1212,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,56,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.14,4.14,weasel,30.35
44,1213,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,male,0.0,1.0,firefox,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,weasel,30.4
45,1214,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,58,0,0,female,1.0,0.0,chrome,macos,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.23,4.23,weasel,40.18333333333333
46,1215,QuestPilot3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,39,0,1,male,0.0,1.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.3,4.3,weasel,33.45
47,1216,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,31,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,3.99,weasel,40.016666666666666
