,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,pid,run,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
835,chrome,windows,0,0,0.0.5,0,6,live,853,quest_main,3.5,3.5,0,0,7,1,0.002,2_4_24,312,True,33.34288333333333
836,chrome,windows,0,0,0.0.5,0,6,live,890,quest_main,3.44,3.44,0,0,7,1,0.002,2_4_24,312,True,61.0117
837,chrome,windows,0,0,0.0.5,0,6,live,891,quest_main,2.86,2.86,0,0,7,1,0.002,2_4_24,312,True,109.10835
838,firefox,windows,0,0,0.0.5,0,6,live,907,quest_main,0.66,0.66,0,0,7,1,0.002,2_4_24,312,False,58.459916666666665
839,opera,windows,0,0,0.0.5,0,6,live,856,quest_main,3.47,3.47,0,0,7,1,0.002,2_4_24,312,True,62.30616666666667
840,chrome,windows,0,0,0.0.5,0,6,live,857,quest_main,1.49,1.49,0,0,7,1,0.002,2_4_24,312,True,65.13651666666667
841,chrome,windows,0,0,0.0.5,0,6,live,855,quest_main,2.9,2.9,0,0,7,1,0.002,2_4_24,312,False,71.2795
843,chrome,windows,0,0,0.0.5,0,6,live,892,quest_main,3.08,3.08,0,0,7,1,0.002,2_4_24,312,False,83.94716666666666
844,chrome,windows,0,0,0.0.5,0,6,live,893,quest_main,3.43,3.43,0,0,7,1,0.002,2_4_24,312,True,64.9191
845,chrome,windows,0,0,0.0.5,0,6,live,859,quest_main,,,0,0,7,1,0.002,2_4_24,312,False,65.08548333333333
846,chrome,windows,0,0,0.0.5,0,6,live,860,quest_main,3.27,3.27,0,0,7,1,0.002,2_4_24,312,True,68.16276666666667
847,chrome,macos,0,0,0.0.5,0,6,live,919,quest_main,3.38,3.38,0,0,7,1,0.002,2_4_24,312,False,88.01425
848,chrome,windows,0,0,0.0.5,0,6,live,862,quest_main,1.6,1.6,0,0,7,1,0.002,2_4_24,312,True,76.6211
849,chrome,windows,0,0,0.0.5,0,6,live,861,quest_main,3.17,3.17,0,0,7,1,0.002,2_4_24,312,True,89.47851666666666
850,chrome,linux,0,0,0.0.5,0,6,live,906,quest_main,3.36,3.36,0,0,7,1,0.002,2_4_24,312,False,73.34628333333333
851,chrome,windows,0,0,0.0.5,0,6,live,865,quest_main,3.17,3.17,0,0,7,1,0.002,2_4_24,312,True,75.20648333333334
852,chrome,windows,0,0,0.0.5,0,6,live,863,quest_main,3.02,3.02,0,0,7,1,0.002,2_4_24,312,False,55.51466666666666
853,firefox,windows,0,0,0.0.5,0,6,live,864,quest_main,3.21,3.21,0,0,7,1,0.002,2_4_24,312,True,55.68066666666667
854,chrome,windows,0,0,0.0.5,0,6,live,894,quest_main,2.82,2.82,0,0,7,1,0.002,2_4_24,312,False,48.08428333333333
855,chrome,macos,0,0,0.0.5,0,6,live,866,quest_main,3.48,3.48,0,0,7,1,0.002,2_4_24,312,True,45.4473
856,chrome,macos,0,0,0.0.5,0,6,live,895,quest_main,3.56,3.56,0,0,7,1,0.002,2_4_24,312,False,53.79846666666667
857,chrome,macos,0,0,0.0.5,0,6,live,920,quest_main,3.47,3.47,0,0,7,1,0.002,2_4_24,312,False,80.0208
859,chrome,windows,0,0,0.0.5,0,6,live,896,quest_main,3.25,3.25,0,0,7,1,0.002,2_4_24,312,False,121.74733333333333
860,opera,windows,0,0,0.0.5,0,6,live,868,quest_main,2.98,2.98,0,0,7,1,0.002,2_4_24,312,True,63.095683333333334
861,chrome,windows,0,0,0.0.5,0,6,live,869,quest_main,3.37,3.37,0,0,7,1,0.002,2_4_24,312,False,70.83446666666667
862,chrome,windows,0,0,0.0.5,0,6,live,870,quest_main,3.15,3.15,0,0,7,1,0.002,2_4_24,312,False,46.98421666666667
863,chrome,windows,0,0,0.0.5,0,6,live,904,quest_main,0.27,0.27,0,0,7,1,0.002,2_4_24,312,False,60.571533333333335
864,chrome,windows,0,0,0.0.5,0,6,live,897,quest_main,3.09,3.09,0,0,7,1,0.002,2_4_24,312,False,32.902816666666666
865,firefox,macos,0,0,0.0.5,0,2,live,903,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,
867,chrome,windows,0,0,0.0.5,0,6,live,921,quest_main,2.82,2.82,0,0,7,1,0.002,2_4_24,312,True,95.304
